class,aa_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,60566,2130706432.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,23976.0,1519270.0,2393762.0,419798.0,27462.0,1658.0,1861450.0,0.0,0.0,0.0,0.0,0.0,3762802.0,3096814.0,823642.0,578562.0,0.0,0.0,0.0,0.0,1402.0,148.0,0.0,0.0,0.0,0.0,0.0,661770.0,2643792.0,648400.0,431964.0,0.0,2586.0,1140.0,1616.0,3668.0,306150.0,4070662.0,104.0,0.0,0.0,0.0,1517812.0,829466.0,325094.0,247528.0,202586.0,183672.0,377820.0,701028.0,920.0,0.0,4587228.0,72.0,46.0,204.0,28.0,1861450.0,59814.0,448766.0,373658.0,218860.0,209380.0,220800.0,166160.0,60565.61,4587228.0,4587228.0,4581874.0,34036,7460.0,89758.0,949380.0,4385926.0,1209600.0,166514.0,2.0,116.0,0.0,3770328.0,47351.04,564953.28,0.0,922.0,0.0,0.0,422.0,194872.0,1659072.0,2051998.0,440026.0,31398.0,7308.0,830.0,76.0,82.0,4587228.0,6854.0,886.0,148362.0,298700.0,289778.0,2958252.0,644350.0,38216.0,526.0,2.0,482.0,386.0,3317574.0,50312.0,0.0,173890.0,0.0,14.0,3806046.0,3576.0,320.0,0.0,0.0,30.0,47386.0,0.0,0.0,0.0,0.0,36614.0,47546.0,30040.0,0.0,0.0,93748.0,17810.0,11916700.0,1269920.0,0.0,0.0,0.0,0.0,1500420.0,1652.4,1892.0,635980.0,926028.0,773956.0,348848.0,679572.0,533016.0,351838.0,127098.0,9590.0,0.0,0.0,0.0
pos,181460,7634.0,6034.0,0.0,0.0,0.0,146928.0,1127254.0,4211790.0,7496468.0,7517370.0,3144144.0,574146.0,58284.0,8268.0,9238012.0,0.0,0.0,0.0,1517276.0,2831858.0,16230962.0,13692914.0,6904476.0,3618134.0,60.0,0.0,756.0,0.0,15522.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,102904.0,10213768.0,13940276.0,27704.0,26744.0,9860.0,18674.0,43306.0,1440152.0,22745910.0,6.0,0.0,0.0,0.0,11219440.0,7156564.0,1903452.0,1121020.0,755202.0,564408.0,426108.0,395354.0,252672.0,490432.0,24654966.0,1226.0,394.0,1756.0,0.0,9238012.0,363444.0,1550620.0,5339496.0,387860.0,393520.0,424600.0,119040.0,181459.46,24654966.0,24654966.0,24680564.0,101645,56904.0,24944.0,438900.0,24284652.0,1209600.0,817940.0,1172.0,4190.0,0.0,14244931.2,0.0,10022479.68,602.0,1256.0,520028.0,2599990.0,5715150.0,7697884.0,5767240.0,1816450.0,142180.0,23436.0,2294.0,0.0,40.0,46.0,24654966.0,14042.0,2794.0,6594026.0,3405320.0,4670056.0,9554932.0,43482.0,0.0,0.0,0.0,14282.0,1810.0,12110350.0,519162.0,0.0,2454.0,0.0,0.0,14823530.0,37396.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242252.0,71160.0,15288.0,0.0,0.0,783114.0,128322.0,3947260.0,604658.0,0.0,0.0,0.0,0.0,4527940.0,4504.86,5724.0,10315944.0,6272222.0,2533312.0,624832.0,1295930.0,1552742.0,1203654.0,461352.0,24664.0,0.0,0.0,0.0
pos,970476,914.0,2996.0,0.0,0.0,0.0,0.0,0.0,27446.0,716954.0,14623272.0,38761938.0,8101000.0,176226.0,1330.0,30940002.0,126762.0,0.0,,16914.0,30800.0,46587246.0,31891988.0,18474544.0,13375910.0,0.0,0.0,9894.0,0.0,2520.0,680.0,0.0,0.0,0.0,0.0,0.0,648190.0,26432822.0,18585430.0,16741724.0,0.0,40104.0,19880.0,42570.0,106184.0,18145116.0,44053726.0,580.0,0.0,0.0,6.0,24675702.0,11347674.0,6713958.0,4998566.0,4515452.0,3740418.0,3282622.0,2562842.0,540626.0,30306.0,65087380.0,4560.0,14600.0,3150.0,1464.0,30940002.0,1254218.0,8314406.0,10081360.0,437200.0,436220.0,427160.0,418720.0,970476.53,65087370.0,65087380.0,64026574.0,384021,1727038.0,,850820.0,62408166.0,1209600.0,712952.0,15904.0,3280.0,0.0,56944146.24,0.0,5407219.2,0.0,0.0,0.0,6162.0,131060.0,5535570.0,29419778.0,24361964.0,2522436.0,363222.0,66848.0,1126.0,4402.0,4784.0,65087370.0,44406.0,10708.0,1473554.0,2629112.0,3088180.0,50586898.0,4455024.0,120260.0,24.0,0.0,4952.0,6440.0,43105432.0,2950394.0,358.0,1067354.0,198.0,0.0,51860276.0,15416.0,318.0,,,,,,,,,924574.0,275398.0,81668.0,0.0,0.0,1144420.0,157362.0,8790480.0,4082596.0,0.0,0.0,0.0,0.0,,20708.84,23838.0,5739558.0,10311110.0,8319328.0,5020198.0,17600426.0,13151720.0,1624070.0,388758.0,248758.0,4240.0,0.0,0.0
pos,587262,,,,,14630.0,377346.0,2259342.0,5994516.0,8487358.0,6213254.0,1433712.0,218400.0,19832.0,0.0,5398592.0,3572.0,0.0,,2604498.0,4136164.0,13550660.0,14175646.0,5580494.0,1569538.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,3382.0,252692.0,2444614.0,16122630.0,6195072.0,0.0,63480.0,38568.0,60998.0,173074.0,5959180.0,18723088.0,2.0,0.0,0.0,0.0,4877296.0,9729954.0,3729194.0,2052086.0,1218694.0,853784.0,836704.0,1529606.0,187718.0,3354.0,21737328.0,,,,,5398592.0,228420.0,1742034.0,3833326.0,390120.0,279660.0,318680.0,449220.0,587262.43,21737328.0,21737328.0,25451164.0,153090,,,1150380.0,25018390.0,1209600.0,,,,,29826617.28,1734565.44,10358996.16,,,732338.0,3815628.0,6366860.0,8391820.0,4394082.0,1190230.0,110508.0,15002.0,1908.0,14.0,,,21737328.0,10016.0,1884.0,2133668.0,3746414.0,5188000.0,13910978.0,27430.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,133344.0,,,,,,,,,,,,,,,,7463062.0,1419150.0,2142530.0,1368052.0,3244522.0,4808802.0,4314048.0,249062.0,9162.0,0.0,,
neg,60712,556.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,1672.0,292120.0,2807982.0,605100.0,31188.0,1062.0,1845176.0,0.0,346.0,0.0,0.0,0.0,3284190.0,2851886.0,715504.0,354708.0,0.0,0.0,0.0,0.0,1590.0,384.0,0.0,0.0,0.0,0.0,0.0,451534.0,2552896.0,236338.0,498356.0,0.0,4082.0,2046.0,2252.0,310298.0,2746376.0,674052.0,18.0,0.0,0.0,0.0,1428148.0,668058.0,273908.0,208866.0,162724.0,138970.0,177876.0,680522.0,52.0,0.0,4000322.0,10586.0,5690.0,26202.0,8.0,1845176.0,56002.0,397460.0,315152.0,232800.0,210260.0,195520.0,69500.0,60711.26,4000322.0,4000322.0,3986118.0,28254,2556.0,30288.0,363400.0,3739124.0,1209600.0,87964.0,0.0,152.0,0.0,3213014.4,0.0,523260.48,0.0,0.0,0.0,0.0,0.0,14174.0,822468.0,2356424.0,516146.0,23792.0,5654.0,466.0,384.0,406.0,4000322.0,5564.0,656.0,29248.0,347866.0,132916.0,1865084.0,1337686.0,19894.0,210.0,0.0,796.0,1104.0,3131998.0,801908.0,46.0,5946.0,0.0,0.0,3250842.0,3364.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31000.0,36488.0,8884.0,0.0,0.0,139542.0,20524.0,72060.0,36186.0,0.0,0.0,0.0,0.0,30407520.0,1584.44,1714.0,559824.0,478390.0,337736.0,180468.0,401840.0,483880.0,822418.0,465070.0,9498.0,0.0,0.0,0.0
pos,687826,2672.0,12.0,0.0,0.0,0.0,0.0,30366.0,2365194.0,14140262.0,18265064.0,5677782.0,649912.0,62394.0,786.0,18613190.0,8456.0,0.0,,889758.0,1288802.0,35180420.0,31454338.0,9407518.0,3748354.0,6.0,0.0,450.0,0.0,5134.0,1962.0,0.0,0.0,0.0,0.0,0.0,4064.0,2583178.0,21807250.0,16797232.0,36.0,521702.0,516068.0,711278.0,1038722.0,10852666.0,27551324.0,0.0,0.0,0.0,0.0,6160462.0,15430654.0,9468308.0,4196002.0,2068494.0,1280228.0,944114.0,947336.0,559776.0,136386.0,45482134.0,3804.0,27406.0,6114.0,51050.0,18613190.0,601764.0,5117068.0,4277740.0,283240.0,267380.0,315500.0,195200.0,687825.23,45482134.0,45482134.0,45391424.0,280548,266102.0,,665180.0,41191760.0,1209600.0,1050602.0,0.0,34.0,0.0,32777956.8,0.0,8388370.56,34304.0,,198.0,499614.0,4869922.0,16532952.0,13438922.0,4980456.0,708160.0,127730.0,32620.0,1186.0,2.0,22992.0,45482134.0,47074.0,9724.0,3998240.0,2300122.0,31816142.0,3010826.0,9632.0,0.0,0.0,0.0,6.0,4.0,103932.0,32494.0,0.0,0.0,0.0,0.0,104824.0,32398.0,7334.0,,,,,,,,,329602.0,108370.0,35736.0,65373854.0,13567474.0,1218606.0,241118.0,1352380.0,169160.0,43029564.0,38588.0,0.0,0.0,,0.62,0.0,3701440.0,8584072.0,2336694.0,982996.0,1995528.0,2404554.0,2615852.0,18335460.0,235164.0,0.0,0.0,0.0
neg,302,38.0,26.0,0.0,0.0,0.0,0.0,0.0,2866.0,6148.0,15930.0,1556.0,0.0,0.0,0.0,10316.0,0.0,0.0,0.0,2486.0,3820.0,25888.0,24584.0,31686.0,1192.0,0.0,0.0,0.0,0.0,18.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,822.0,22992.0,2686.0,0.0,1068.0,52.0,84.0,230.0,14684.0,10382.0,0.0,0.0,0.0,0.0,14098.0,8872.0,2338.0,582.0,110.0,92.0,86.0,52.0,238.0,32.0,60088.0,22.0,10.0,194.0,0.0,10316.0,358.0,27640.0,3952.0,,,,31460.0,301.03,60088.0,60088.0,65168.0,83,174.0,5850.0,59800.0,26500.0,1209600.0,484.0,0.0,4.0,0.0,14798.4,0.0,10790.4,0.0,16.0,0.0,2566.0,4364.0,17346.0,1350.0,412.0,462.0,0.0,0.0,0.0,0.0,6.0,60088.0,940.0,20.0,186.0,76.0,2928.0,13936.0,7954.0,452.0,8.0,0.0,32.0,102.0,14284.0,9362.0,0.0,10.0,0.0,0.0,15046.0,44.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,20.0,2.0,5728.0,798.0,370.0,76.0,1700.0,284.0,64352.0,22.0,0.0,0.0,0.0,174.68,52.0,11948.0,2208.0,582.0,274.0,628.0,688.0,4630.0,5542.0,0.0,0.0,0.0,0.0
neg,120756,,,,,0.0,0.0,0.0,0.0,28028.0,3083312.0,6403036.0,2765420.0,358892.0,18586.0,4686800.0,0.0,0.0,,0.0,0.0,9321066.0,7603004.0,3768026.0,1660974.0,,0.0,342.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,46492.0,12610244.0,538.0,0.0,16320.0,11914.0,466226.0,8021190.0,3768230.0,373394.0,0.0,0.0,0.0,0.0,4231574.0,2577292.0,848226.0,637252.0,557650.0,540452.0,611518.0,948638.0,1216330.0,488342.0,13090030.0,,,,,4686800.0,187976.0,1438964.0,2321364.0,395960.0,377860.0,349380.0,342180.0,120755.6,13090030.0,13090030.0,,84538,,,975080.0,,1209600.0,,,,,9796959.36,0.0,2855325.12,,,0.0,0.0,0.0,123876.0,3061324.0,6411922.0,2693700.0,340426.0,25088.0,938.0,,,13090030.0,8364.0,2310.0,2468782.0,733640.0,3596528.0,5745366.0,101304.0,980.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,110634.0,,,,,,,,,,,,,,,,2905484.0,4527934.0,1739978.0,837610.0,1803930.0,817208.0,24818.0,300.0,12.0,0.0,,
neg,61272,1634.0,1470.0,0.0,0.0,0.0,0.0,0.0,0.0,119008.0,1729158.0,1482940.0,95986.0,74.0,0.0,1653784.0,0.0,0.0,0.0,0.0,0.0,3157148.0,2721402.0,634326.0,348824.0,0.0,0.0,0.0,0.0,2232.0,750.0,0.0,0.0,0.0,0.0,0.0,10512.0,342916.0,738092.0,2335646.0,0.0,2576.0,686.0,1006.0,12176.0,1983614.0,1420362.0,6746.0,0.0,0.0,0.0,800516.0,770658.0,350594.0,285282.0,232672.0,197686.0,278948.0,510810.0,0.0,0.0,3792336.0,0.0,128.0,636.0,18.0,1653784.0,55224.0,400142.0,233028.0,265380.0,191760.0,139900.0,28460.0,61271.1,3792336.0,3792336.0,3816000.0,20721,999976.0,11004.0,153860.0,3427166.0,1209600.0,119654.0,0.0,286.0,0.0,3055670.4,0.0,367608.0,0.0,0.0,0.0,0.0,5620.0,559492.0,1754984.0,959106.0,119504.0,19784.0,7814.0,862.0,440.0,468.0,3792336.0,5934.0,912.0,4028.0,303598.0,128186.0,1612366.0,1350494.0,21648.0,0.0,0.0,2898.0,2184.0,1414328.0,68560.0,34.0,5300.0,0.0,0.0,3083482.0,6036.0,358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26820.0,45874.0,8418.0,0.0,0.0,103042.0,47008.0,2643520.0,1381872.0,0.0,0.0,0.0,0.0,41777810.0,1714.5,1936.0,407548.0,555352.0,289192.0,145772.0,313924.0,276518.0,234174.0,220142.0,847020.0,137524.0,0.0,0.0
neg,3432,126.0,86.0,0.0,0.0,0.0,0.0,9588.0,127682.0,67168.0,27486.0,7578.0,0.0,0.0,0.0,66784.0,0.0,0.0,0.0,41684.0,56970.0,172266.0,175364.0,108752.0,19400.0,0.0,0.0,0.0,0.0,510.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,234302.0,0.0,1540.0,238.0,474.0,1670.0,3566.0,231892.0,122.0,0.0,0.0,0.0,72118.0,43464.0,36300.0,37784.0,22480.0,11696.0,6166.0,4766.0,2124.0,2604.0,322914.0,84.0,2.0,314.0,0.0,66784.0,2414.0,70602.0,37784.0,,,,107220.0,3431.47,322868.0,322914.0,340272.0,1494,346.0,31318.0,321220.0,239502.0,1209600.0,4840.0,0.0,70.0,0.0,174534.72,9493.44,54096.96,2.0,88.0,2910.0,63688.0,111138.0,48460.0,11188.0,1814.0,262.0,42.0,0.0,0.0,32.0,124.0,322868.0,1426.0,78.0,10128.0,13668.0,28418.0,184208.0,1576.0,0.0,0.0,0.0,186.0,328.0,172380.0,85160.0,0.0,6.0,0.0,0.0,179606.0,570.0,432.0,290.0,10974.0,0.0,0.0,0.0,0.0,0.0,0.0,2482.0,840.0,146.0,32590.0,8830.0,3738.0,776.0,940.0,96.0,6.0,1658.0,0.0,0.0,2431470.0,279.12,312.0,67014.0,22726.0,11004.0,5602.0,11988.0,34460.0,48908.0,37566.0,234.0,0.0,0.0,0.0
